Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,CountClassBase
Public Interface,"org.apache.maven.artifact.manager.WagonManager",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/WagonManager.java,0,0,0,0,0,0,0,0,2,2,1,,0,0,,,,5,0,5,15,5,0,0,0,,20,,,,5,,,,11,,,9,0,4,,,,,,,5,6,6,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0.36,0,0,0,0,1
Abstract Method,"org.apache.maven.artifact.manager.WagonManager.getArtifact",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/WagonManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,0,,,,2,,,2,0,0,,,,0,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,0.00,0,0,0,0,
Abstract Method,"org.apache.maven.artifact.manager.WagonManager.getArtifact",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/WagonManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,0,,,,2,,,2,0,0,,,,0,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,0.00,0,0,0,0,
Abstract Method,"org.apache.maven.artifact.manager.WagonManager.getAuthenticationInfo",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/WagonManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,0,,,,1,,,1,0,4,,,,1,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,4.00,0,0,0,0,
Abstract Method,"org.apache.maven.artifact.manager.WagonManager.getMirrorRepository",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/WagonManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,0,,,,1,,,1,0,0,,,,1,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,0.00,0,0,0,0,
Abstract Method,"org.apache.maven.artifact.manager.WagonManager.getProxy",maven-maven-3.0/maven-compat/src/main/java/org/apache/maven/artifact/manager/WagonManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,0,,,,1,,,1,0,0,,,,1,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,0.00,0,0,0,0,
Package,"org.apache.maven.artifact.metadata",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/metadata/ArtifactMetadata.java,1,1,1,1,8,0,7,0,,,,6,0,0,,6,,15,1,15,,6,0,1,8,,292,,,,38,,,,146,,,83,24,108,,,,,,,53,72,53,,,19,,,,,,,,5,5,5,1,,,2,,,,0.74,13,13,13,9,
Public Abstract Class,"org.apache.maven.artifact.metadata.AbstractArtifactMetadata",maven-maven-3.0/maven-core/src/main/java/org/apache/maven/artifact/metadata/AbstractArtifactMetadata.java,1,1,1,1,4,0,4,0,1,1,1,,0,0,,,,1,0,1,6,0,0,1,0,,9,,,,0,,,,9,,,4,1,0,,,,,,,1,3,2,,,1,,,,,,,,1,1,1,1,,2,0,,0,0,0.00,1,1,1,1,2
Protected Constructor,"org.apache.maven.artifact.metadata.AbstractArtifactMetadata.AbstractArtifactMetadata",maven-maven-3.0/maven-core/src/main/java/org/apache/maven/artifact/metadata/AbstractArtifactMetadata.java,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,0,,,,4,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1,
Public Interface,"org.apache.maven.artifact.metadata.ArtifactMetadata",maven-maven-3.0/maven-artifact/src/main/java/org/apache/maven/artifact/metadata/ArtifactMetadata.java,0,0,0,0,0,0,0,0,0,0,3,,0,0,,,,1,0,1,12,1,0,0,0,,5,,,,0,,,,5,,,3,0,0,,,,,,,1,2,2,,,0,,,,,,,,0,0,0,0,,1,0,,0,0,0.00,0,0,0,0,1
