Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"gl_video_set_equalizer",mpv-0.3.0/video/out/gl_video.c,,,,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,13,0,13,1,5,0,0,0,8,3,0,6,8,0,0,8,3,3,4,1,1,,,,,0,,2,0,,0.00,,,,
Function,"gl_video_set_hwdec",mpv-0.3.0/video/out/gl_video.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,1,0,0,0,2,1,0,2,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"gl_video_set_lut3d",mpv-0.3.0/video/out/gl_video.c,,,,5,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,28,5,23,2,6,0,0,0,4,2,0,18,6,1,0,5,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Function,"gl_video_set_options",mpv-0.3.0/video/out/gl_video.c,,,,1,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,1,11,2,6,0,0,0,7,2,0,8,9,1,0,8,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Function,"gl_video_set_output_depth",mpv-0.3.0/video/out/gl_video.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,0,5,1,1,0,0,0,3,1,0,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"gl_video_uninit",mpv-0.3.0/video/out/gl_video.c,,,,4,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,4,11,2,14,0,0,0,3,1,0,7,4,1,0,3,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Function,"gl_video_upload_image",mpv-0.3.0/video/out/gl_video.c,,,,5,42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,47,5,42,9,20,1,0,0,8,13,1,29,31,9,0,22,7,7,7,1,1,,,,,0,,3,0,,0.02,,,,
Function,"glob",mpv-0.3.0/osdep/glob-win.c,,,,0,38,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,0,38,6,14,6,0,0,5,24,1,19,19,4,0,15,8,8,8,6,10,,,,,10,,3,10,,0.16,,,,
Function,"globfree",mpv-0.3.0/osdep/glob-win.c,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,7,3,1,0,0,0,1,1,0,5,3,2,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Struct,"glx_context",mpv-0.3.0/video/out/gl_x11.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,3,3,0,0,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
