Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,"org.apache.maven.settings.PomConstructionWithSettingsTest.testSettingsNoPom",maven-maven-3.3.0/maven-core/src/test/java/org/apache/maven/settings/PomConstructionWithSettingsTest.java,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,0,,,,5,,,2,2,0,,,,3,1,0,2,3,2,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Class,"org.apache.maven.settings.RuntimeInfo",maven-maven-3.3.0/maven-settings/src/main/java/org/apache/maven/settings/RuntimeInfo.java,1,1,1,1,4,0,4,0,1,0,0,0,,0,3,,,,3,1,3,3,0,0,0,3,,31,,,,6,,,,21,,,10,6,4,,,,,,,7,11,8,,,3,,,,,,,,1,1,1,1,,1,0,,0,0,0.19,3,3,3,3
Public Constructor,"org.apache.maven.settings.RuntimeInfo.RuntimeInfo",maven-maven-3.3.0/maven-settings/src/main/java/org/apache/maven/settings/RuntimeInfo.java,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,0,,,,4,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Constructor,"org.apache.maven.settings.RuntimeInfo.RuntimeInfo",maven-maven-3.3.0/maven-settings/src/main/java/org/apache/maven/settings/RuntimeInfo.java,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,0,,,,4,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.maven.settings.RuntimeInfo.getFile",maven-maven-3.3.0/maven-settings/src/main/java/org/apache/maven/settings/RuntimeInfo.java,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,0,,,,4,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Class,"org.apache.maven.settings.SettingsConfigurationException",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/SettingsConfigurationException.java,1,1,1,1,4,0,4,0,1,0,0,0,,0,0,,,,5,2,5,5,0,0,0,5,,42,,,,8,,,,29,,,9,8,5,,,,,,,9,15,8,,,7,,,,,,,,3,3,3,1,,2,0,,60,60,0.17,7,7,7,5
Public Constructor,"org.apache.maven.settings.SettingsConfigurationException.SettingsConfigurationException",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/SettingsConfigurationException.java,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,0,,,,4,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Constructor,"org.apache.maven.settings.SettingsConfigurationException.SettingsConfigurationException",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/SettingsConfigurationException.java,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,0,,,,4,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Constructor,"org.apache.maven.settings.SettingsConfigurationException.SettingsConfigurationException",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/SettingsConfigurationException.java,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,,,,0,,,,7,,,1,4,0,,,,3,1,0,3,4,1,,,3,,,3,3,3,1,0,,,,,0,,0,0,,,0.00,3,3,3,1
Public Method,"org.apache.maven.settings.SettingsConfigurationException.getColumnNumber",maven-maven-3.3.0/maven-core/src/main/java/org/apache/maven/settings/SettingsConfigurationException.java,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,0,,,,4,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
