Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProperty,CountDeclSubprogram,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"src/modules/proto_dhcp/rlm_dhcp.c",4,13,0,25,66,60,2,2,2,1,17,4,13,0,,,,,0,,,,,,,3,,,,,,,,,,,,,,,,,,,139,,,,25,,,,61,,,22,7,60,,,,0,5,,,,24,29,22,,,0,7,,,,,,,,3,3,3,3,,,1,,,,0.98,5,5,5,5
File,"src/modules/proto_vmps/vmps.c",2,10,1,22,65,34,2,2,2,1,12,2,10,1,,,,,0,,,,,,,5,,,,,,,,,,,,,,,,,,,121,,,,22,,,,59,,,14,11,34,,,,0,6,,,,25,29,15,,,0,14,,,,,,,,4,4,4,4,,,1,,,,0.58,9,9,9,8
File,"src/modules/proto_vmps/vqp.c",15,58,25,104,369,233,8,8,9,5,97,14,51,22,,,,,0,,,,,,,6,,,,,,,,,,,,,,,,,,,697,,,,99,,,,318,,,53,61,217,,,,51,20,,,,210,139,48,,,0,91,,,,,,,,18,18,20,16,,,3,,,,0.68,50,50,52,33
File,"src/modules/proto_vmps/vqp.h",0,0,0,6,14,25,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,44,,,,6,,,,5,,,0,0,25,,,,2,7,,,,4,3,3,,,0,0,,,,,,,,0,0,0,0,,,0,,,,5.00,0,0,0,0
File,"src/modules/rlm_always/rlm_always.c",1,13,1,15,94,56,4,4,4,1,14,1,13,1,,,,,0,,,,,,,3,,,,,,,,,,,,,,,,,,,149,,,,12,,,,73,,,14,14,50,,,,18,9,,,,27,38,16,,,9,13,,,,,,,,10,10,10,1,,,1,,,,0.68,13,13,13,3
File,"src/modules/rlm_attr_filter/rlm_attr_filter.c",6,40,13,53,235,98,2,2,2,1,54,6,31,12,,,,,0,,,,,,,8,,,,,,,,,,,,,,,,,,,375,,,,53,,,,209,,,43,24,96,,,,9,17,,,,97,70,49,,,1,20,,,,,,,,7,7,7,1,,,2,,,,0.46,18,18,18,8
File,"src/modules/rlm_cache/rlm_cache.c",11,45,7,148,570,179,4,4,4,2,64,11,44,7,,,,,0,,,,,,,11,,,,,,,,,,,,,,,,,,,884,,,,148,,,,541,,,112,75,179,,,,9,22,,,,294,200,112,,,4,84,,,,,,,,7,7,8,6,,,2,,,,0.33,43,43,44,29
File,"src/modules/rlm_chap/rlm_chap.c",8,32,2,21,86,52,6,6,6,1,41,8,32,2,,,,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,147,,,,21,,,,84,,,11,16,52,,,,0,2,,,,34,36,12,,,0,24,,,,,,,,8,8,8,1,,,2,,,,0.62,11,11,11,2
File,"src/modules/rlm_counter/rlm_counter.c",10,61,17,121,592,233,9,9,10,4,88,10,61,17,,,,,0,,,,,,,8,,,,,,,,,,,,,,,,,,,922,,,,121,,,,562,,,105,166,232,,,,3,29,,,,323,288,106,,,14,168,,,,,,,,20,20,23,18,,,3,,,,0.41,72,72,79,33
File,"src/modules/rlm_cram/rlm_cram.c",1,25,1,19,155,49,2,2,2,1,27,1,25,1,,,,,0,,,,,,,5,,,,,,,,,,,,,,,,,,,207,,,,19,,,,147,,,27,5,49,,,,0,8,,,,100,33,25,,,0,8,,,,,,,,5,5,5,1,,,1,,,,0.33,9,9,9,5
