Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Static Function,"ff_free_stack_element",neovim-0.2.0/src/nvim/file_search.c,,,,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,,,,2,,,,8,,,2,5,1,,,,0,0,2,2,0,4,6,1,,,0,5,,,2,2,2,1,0,,,,,0,,1,0,,0.12,,,,
Static Function,"ff_free_visited_list",neovim-0.2.0/src/nvim/file_search.c,,,,1,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,,,,1,,,,11,,,2,6,0,,,,0,0,1,2,0,6,7,1,,,0,6,,,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Static Function,"ff_get_visited_list",neovim-0.2.0/src/nvim/file_search.c,,,,5,35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,44,,,,5,,,,19,,,1,17,4,,,,12,4,8,4,1,18,13,1,,,0,12,,,4,4,4,4,4,,,,,4,,3,4,,0.21,,,,
Static Function,"ff_path_in_stoplist",neovim-0.2.0/src/nvim/file_search.c,,,,3,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,,,,3,,,,19,,,2,23,6,,,,0,0,5,12,1,8,15,2,,,0,13,,,7,7,9,6,10,,,,,10,,3,10,,0.32,,,,
Static Function,"ff_pop",neovim-0.2.0/src/nvim/file_search.c,,,,2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,,,,2,,,,8,,,2,4,0,,,,0,0,3,2,0,4,5,1,,,0,4,,,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Static Function,"ff_push",neovim-0.2.0/src/nvim/file_search.c,,,,0,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,0,,,,7,,,1,3,2,,,,0,0,4,2,0,2,3,0,,,0,3,,,2,2,2,1,0,,,,,0,,1,0,,0.29,,,,
Struct,"ff_search_ctx_T",neovim-0.2.0/src/nvim/file_search.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,,0,0,,,,,,0,13,0,0,13,0,0,0,0,0,0,0,,0,,,,0,,,,0,,,0,0,0,,,,0,0,,,,,13,13,,,0,0,,,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
Struct,"ff_stack",neovim-0.2.0/src/nvim/file_search.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,,,,0,9,0,0,9,0,0,0,0,0,0,0,,0,,,,0,,,,0,,,0,0,0,,,,0,0,,,,,9,9,,,0,0,,,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
Struct,"ff_visited",neovim-0.2.0/src/nvim/file_search.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,,0,0,,,,,,0,5,0,0,5,0,0,0,0,0,0,0,,0,,,,0,,,,0,,,0,0,0,,,,0,0,,,,,5,5,,,0,0,,,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
Struct,"ff_visited_list_hdr",neovim-0.2.0/src/nvim/file_search.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,,0,0,,,,,,0,3,0,0,3,0,0,0,0,0,0,0,,0,,,,0,,,,0,,,0,0,0,,,,0,0,,,,,3,3,,,0,0,,,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
Static Function,"ff_wc_equal",neovim-0.2.0/src/nvim/file_search.c,,,,5,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,32,,,,5,,,,27,,,3,12,0,,,,0,0,4,5,1,17,25,9,,,1,15,,,6,6,10,5,5,,,,,5,,2,5,,0.00,,,,
Struct,"file_buffer",neovim-0.2.0/src/nvim/buffer_defs.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,,0,,0,0,,,,,,0,196,0,0,196,0,0,0,0,0,0,0,,0,,,,0,,,,0,,,0,0,0,,,,0,0,,,,,197,197,,,0,0,,,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
Function,"file_close",neovim-0.2.0/src/nvim/os/fileio.c,,,,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,,,,0,,,,11,,,4,6,0,,,,0,0,5,2,0,5,10,6,,,0,4,,,3,3,3,1,1,,,,,0,,1,0,,0.00,,,,
Static Function,"file_eof",neovim-0.2.0/src/nvim/os/fileio.h,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,0,,,,4,,,2,1,0,,,,0,0,2,1,0,1,2,1,,,0,1,,,1,1,2,1,0,,,,,0,,0,0,,0.00,,,,
