,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NumRevision,NumAdded,NumDeleted,NumAuthor,Label
36,mpv-0.3.0/audio/filter/af_sinesuppress.c,mpv-0.3.0/audio/filter/af_sinesuppress.c,3.0,17.0,1.0,23.0,97.0,34.0,2.0,2.0,2.0,1.0,20.0,3.0,14.0,1.0,0.0,3.0,149.0,19.0,64.0,31.0,37.0,29.0,27.0,12.0,51.0,47.0,22.0,0.0,25.0,3.0,3.0,3.0,3.0,2.0,0.45,6.0,6.0,6.0,5.0,11,184,58,1,0
37,mpv-0.3.0/audio/filter/af_sub.c,mpv-0.3.0/audio/filter/af_sub.c,2.0,14.0,3.0,18.0,84.0,52.0,3.0,3.0,3.0,2.0,17.0,2.0,14.0,3.0,0.0,3.0,141.0,18.0,73.0,40.0,43.0,52.0,0.0,11.0,42.0,58.0,31.0,2.0,25.0,5.0,5.0,6.0,4.0,2.0,0.71,8.0,8.0,9.0,6.0,13,202,78,1,0
38,mpv-0.3.0/audio/filter/af_surround.c,mpv-0.3.0/audio/filter/af_surround.c,7.0,25.0,12.0,36.0,132.0,91.0,3.0,3.0,3.0,2.0,42.0,7.0,22.0,12.0,0.0,3.0,243.0,36.0,106.0,45.0,162.0,91.0,5.0,22.0,69.0,78.0,29.0,1.0,48.0,6.0,6.0,7.0,5.0,2.0,0.86,9.0,9.0,10.0,7.0,12,277,70,1,0
39,mpv-0.3.0/audio/filter/af_sweep.c,mpv-0.3.0/audio/filter/af_sweep.c,1.0,10.0,0.0,12.0,53.0,21.0,2.0,2.0,2.0,1.0,12.0,1.0,10.0,0.0,0.0,3.0,86.0,12.0,45.0,24.0,29.0,21.0,0.0,8.0,25.0,36.0,16.0,0.0,20.0,4.0,4.0,4.0,1.0,2.0,0.47,7.0,7.0,7.0,3.0,9,109,35,1,0
40,mpv-0.3.0/audio/filter/af_volume.c,mpv-0.3.0/audio/filter/af_volume.c,1.0,16.0,0.0,15.0,91.0,23.0,5.0,5.0,6.0,1.0,17.0,1.0,16.0,0.0,0.0,4.0,126.0,15.0,82.0,35.0,53.0,23.0,0.0,9.0,41.0,61.0,23.0,0.0,38.0,12.0,12.0,12.0,1.0,3.0,0.28,21.0,19.0,22.0,4.0,21,404,293,1,0
41,mpv-0.3.0/audio/filter/filter.c,mpv-0.3.0/audio/filter/filter.c,5.0,28.0,11.0,35.0,145.0,212.0,6.0,5.0,8.0,3.0,37.0,5.0,28.0,11.0,0.0,5.0,360.0,35.0,142.0,344.0,96.0,212.0,0.0,3.0,101.0,130.0,26.0,0.0,104.0,26.0,20.0,30.0,15.0,3.0,1.49,32.0,26.0,41.0,19.0,1,298,0,1,0
42,mpv-0.3.0/audio/filter/tools.c,mpv-0.3.0/audio/filter/tools.c,1.0,11.0,1.0,14.0,68.0,41.0,4.0,4.0,5.0,1.0,12.0,1.0,11.0,1.0,0.0,6.0,123.0,14.0,64.0,13.0,63.0,41.0,0.0,4.0,32.0,54.0,13.0,0.0,41.0,6.0,6.0,7.0,3.0,2.0,0.64,23.0,23.0,31.0,8.0,2,110,1,1,0
43,mpv-0.3.0/audio/filter/window.c,mpv-0.3.0/audio/filter/window.c,1.0,9.0,2.0,20.0,76.0,124.0,2.0,2.0,2.0,1.0,11.0,1.0,9.0,2.0,0.0,8.0,213.0,20.0,73.0,207.0,176.0,124.0,0.0,3.0,53.0,70.0,35.0,0.0,35.0,2.0,2.0,2.0,1.0,1.0,1.7,16.0,16.0,16.0,8.0,1,193,0,1,0
44,mpv-0.3.0/audio/fmt-conversion.c,mpv-0.3.0/audio/fmt-conversion.c,0.0,8.0,0.0,6.0,36.0,17.0,3.0,3.0,3.0,2.0,8.0,0.0,8.0,0.0,0.0,2.0,59.0,6.0,32.0,8.0,5.0,17.0,0.0,4.0,11.0,17.0,8.0,0.0,9.0,3.0,3.0,3.0,3.0,2.0,0.53,5.0,5.0,5.0,4.0,11,82,29,2,0
45,mpv-0.3.0/audio/format.c,mpv-0.3.0/audio/format.c,0.0,11.0,1.0,23.0,173.0,41.0,4.0,4.0,5.0,2.0,11.0,0.0,11.0,1.0,0.0,12.0,231.0,23.0,162.0,56.0,224.0,41.0,0.0,11.0,66.0,124.0,29.0,0.0,95.0,14.0,14.0,16.0,8.0,2.0,0.25,52.0,44.0,55.0,34.0,18,302,94,2,0
