,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,NumRevision,NumAdded,NumDeleted,NumAuthor,Label
2112,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_register.c,6.0,28.0,2.0,360.0,1318.0,493.0,8.0,8.0,11.0,3.0,37.0,6.0,28.0,2.0,0.0,40.0,2127.0,354.0,1237.0,372.0,1519.0,490.0,46.0,45.0,594.0,912.0,260.0,7.0,645.0,40.0,40.0,49.0,20.0,6.0,0.4,331.0,331.0,441.0,145.0,32,3324,1559,3,0
2113,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_registrar.c,0.0,0.0,0.0,10.0,29.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,10.0,16.0,16.0,16.0,77.0,0.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,0.0,0.0,0.0,0.0,7,147,46,1,0
2114,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_server.c,6.0,35.0,2.0,105.0,488.0,169.0,11.0,11.0,17.0,3.0,43.0,6.0,34.0,2.0,0.0,13.0,750.0,105.0,457.0,89.0,321.0,168.0,6.0,26.0,211.0,362.0,83.0,9.0,270.0,64.0,60.0,90.0,10.0,3.0,0.37,149.0,145.0,221.0,51.0,8,664,19,3,0
2115,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_session.c,7.0,33.0,3.0,694.0,2925.0,1315.0,11.0,11.0,15.0,3.0,43.0,7.0,33.0,3.0,0.0,75.0,4792.0,694.0,2871.0,855.0,3992.0,1314.0,20.0,35.0,1235.0,1850.0,530.0,23.0,1297.0,56.0,56.0,88.0,16.0,6.0,0.46,797.0,791.0,1160.0,289.0,84,11080,6985,4,0
2116,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_stack.c,4.0,22.0,0.0,214.0,756.0,160.0,7.0,6.0,9.0,3.0,26.0,4.0,22.0,0.0,0.0,32.0,1124.0,214.0,719.0,146.0,894.0,160.0,1.0,36.0,393.0,660.0,151.0,1.0,508.0,45.0,24.0,50.0,26.0,3.0,0.22,223.0,193.0,291.0,115.0,51,6642,5731,4,1
2117,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_subnotref.c,5.0,27.0,2.0,131.0,547.0,300.0,7.0,7.0,9.0,2.0,34.0,5.0,26.0,2.0,0.0,16.0,929.0,131.0,526.0,205.0,326.0,299.0,7.0,15.0,214.0,314.0,115.0,1.0,198.0,19.0,19.0,23.0,5.0,5.0,0.57,112.0,112.0,138.0,32.0,26,2267,1469,1,0
2118,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/nua_tag.c,0.0,0.0,0.0,276.0,105.0,2569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2950.0,276.0,97.0,2.0,1.0,2569.0,0.0,8.0,91.0,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.48,0.0,0.0,0.0,0.0,23,3180,506,2,0
2119,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/nua/outbound.c,7.0,31.0,2.0,241.0,918.0,178.0,9.0,9.0,13.0,3.0,38.0,7.0,31.0,2.0,0.0,26.0,1291.0,241.0,894.0,231.0,1255.0,178.0,0.0,24.0,458.0,691.0,208.0,1.0,482.0,43.0,43.0,64.0,13.0,5.0,0.2,241.0,241.0,350.0,95.0,24,1430,380,2,0
2120,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/sdp/sdp.c,2.0,14.0,0.0,330.0,1236.0,351.0,6.0,6.0,6.0,2.0,16.0,2.0,14.0,0.0,0.0,75.0,1906.0,313.0,1099.0,240.0,1752.0,329.0,137.0,39.0,719.0,1063.0,276.0,23.0,764.0,29.0,29.0,33.0,24.0,3.0,0.3,414.0,414.0,450.0,221.0,12,1766,190,3,1
2121,freeswitch-1.5.0/libs/sofia-sip/libsofia-sip-ua/sdp/sdp_parse.c,4.0,24.0,6.0,232.0,1070.0,640.0,7.0,6.0,9.0,4.0,34.0,4.0,24.0,6.0,0.0,38.0,1908.0,232.0,1027.0,204.0,1900.0,627.0,21.0,35.0,557.0,872.0,212.0,19.0,641.0,23.0,16.0,30.0,19.0,4.0,0.61,259.0,232.0,335.0,173.0,9,1802,166,3,0
